Seed,Desc,Player,Wilds,H20,Predict,Actual,Quality,Play,Points,Ante,Surr,Total,R_Wilds,R_Ante,R_Surr,R_Points,R_Totals,R_Plays,R_Wins,R_Games,Hand 1,Hand 2,Hand 3,Hand 4,Hand 5,Hand 6,Total,h1_score,h1_points,h2_score,h2_points,h3_score,h3_points,h4_score,h4_points,h5_score,h5_points,h6_score,h6_points,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,0,504.2,1318.875,1050.8, Not Ok,  False,0,-40,-10,-200,-53,-363,0,8,   A, Trip SH5, Trip SDT, Trip DDQ, Flush K, Flush A, (1050.8, (11401, 56.2), (40543, 521.2), (41042, 350.6), (41222, 87.2), (61309, 27.0), (61408, 8.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,0,543.1,1582.925,1639, Not Ok,  False,0,-40,-10,-120,-3,-133,1,8,   Q, Trip SH9, Trip SDK, Trip SDA, FullH 2, FullH 6, (1639.0, (11204, 22.7), (40943, 773.7), (41342, 540.5), (41442, 195.6), (70210, 81.4), (70603, 25.1)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,396.4,1194.575,2866.6,    Sad,  False,0,-40,-10,280,65,475,3,8,   A, Pair 4, Trip SD9, Four 8, FiveSF 6, Five 7, (2866.6, (11401, 56.2), (20410, 4.8), (40942, 300.4), (80813, 1135.9), (90605, 907.4), (100700, 461.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,0,607.2,2047.65,1221,   Good,   True,-44,0,-20,160,-70,110,2,9,   A, Trip SS6, Trip HC9, Trip HDK, Flush A, Four 3, (1221.0, (11401, 56.2), (40644, 588.7), (40931, 280.3), (41332, 123.4), (61411, 35.1), (80311, 137.3)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Johnny,0,447.6,1527.575,499.9, Not Ok,  False,0,-40,-10,-120,28,-122,1,9,  HA, Pair Q, Trip SH5, Trip SSK, Flush K, Flush A, (499.9, (11403, 82.5), (21211, 37.0), (40543, 185.4), (41344, 157.9), (61310, 28.2), (61409, 8.9)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ming  ,0,240.1,1185.5,1424.6,    Sad,  False,0,-40,-10,-80,-11,-131,1,9,   A, Trip SS7, Trip SHT, Trip DDJ, FullH 2, Four 8, (1424.6, (11402, 67.8), (40744, 656.0), (41043, 365.6), (41122, 68.5), (70212, 83.9), (80813, 182.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Tony  ,1,439.1,1414.075,1511.3, Not Ok,  False,0,-40,-10,-240,-53,-413,0,9,   A, Pair 9, Trip SS2, Trip SHJ, Four 3, SixSF T, (1511.3, (11402, 67.8), (20912, 24.6), (40244, 139.4), (41143, 82.3), (80313, 488.6), (111009, 708.6)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Edmond,1,354.2,1730.15,1750.1,     Ok,   True,20,0,-20,-120,17,-133,1,9,   A, Trip SHJ, Trip SHQ, Trip SSK, FullH 4, FullH 7, (1750.1, (11404, 100.0), (41143, 869.5), (41243, 497.7), (41344, 157.9), (70409, 96.6), (70708, 28.4)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Philip,1,932,2336.25,2358.5,   Good,   True,24,120,70,400,89,689,4,9,   K, Trip SST, Trip DDQ, Trip SSA, FullH 5, SixSF 9, (2358.5, (11303, 39.8), (41044, 837.5), (41222, 445.0), (41444, 233.1), (70503, 99.9), (110908, 703.2)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Peter ,1,238.3,1317.375,1232.3, Not Ok,  False,0,-40,-10,120,-70,60,2,10,   K, Trip SD6, Trip SHT, Trip HHA, FullH 2, FullH 3, (1232.3, (11301, 26.9), (40642, 561.8), (41043, 365.6), (41433, 181.2), (70209, 80.0), (70307, 16.8)),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
